 State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name,Nitrogen,Phosphorus,Potassium,Boron,Iron,Zinc,Copper,Sulphur,Organic Carbon,Soil pH,Soil Salinity,Manganese,Temperature_°C,Updated_Nitrogen,Phosphorus,Updated_Potassium,Updated_Boron,Updated_Iron,Updated_Zinc,Updates_Copper,Updated_Sulphur,Updated_Organic Carbon,Updates_Soil pH,Updates_Soil Salinity,Updated_Manganese
Haryana,Hisar,2/14/2025,2025,2,10.36915,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
Haryana,Hisar,2/15/2025,2025,2,10.19163,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
Haryana,Hisar,2/16/2025,2025,2,10.01207,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
Haryana,Hisar,2/17/2025,2025,2,9.841406,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
Haryana,Hisar,2/21/2025,2025,2,10.41526,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
Haryana,Hisar,2/24/2025,2025,2,9.862712,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
Haryana,Hisar,2/26/2025,2025,2,9.573871,NRSC VIC MODEL,<280 kg/ha,10 to >25 kg/ha,>280 kg/ha,>0.5 ppm,<4.5 to >4.5 ppm,>0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>7.5-8.5,0-1.68 dS/m,>2.0 ppm,15.9,<366.8 kg/ha,9.05 to >22.62 kg/ha,>236.6 kg/ha,>0.45 ppm,<3.56 to >3.56 ppm,>0.56 ppm,>0.19 ppm,>8.5 ppm,<0.41%,>7.5−8.5,0−1.81 dS/m,>1.86 ppm
Haryana,Jhajjar,2/4/2025,2025,2,12.12067,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,120-280 kg/ha,<0.5 to >0.5 ppm,<4.5 to >4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>6.5-8.5,0-1.68 dS/m,>2.0 ppm,16.3,<369.6 kg/ha,9.18−22.95 kg/ha,102.96−240.24 kg/ha,<0.46 to >0.46 ppm,<3.73 to >3.73 ppm,<0.57 to >0.57 ppm,>0.2 ppm,>8.7 ppm,<0.42%,>6.5−8.5,0−1.78 dS/m,>1.9 ppm
Haryana,Jhajjar,2/5/2025,2025,2,0.163715,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,120-280 kg/ha,<0.5 to >0.5 ppm,<4.5 to >4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>6.5-8.5,0-1.68 dS/m,>2.0 ppm,16.3,<369.6 kg/ha,9.18−22.95 kg/ha,102.96−240.24 kg/ha,<0.46 to >0.46 ppm,<3.73 to >3.73 ppm,<0.57 to >0.57 ppm,>0.2 ppm,>8.7 ppm,<0.42%,>6.5−8.5,0−1.78 dS/m,>1.9 ppm
Haryana,Jhajjar,2/13/2025,2025,2,10.10785,NRSC VIC MODEL,<280 kg/ha,10-25 kg/ha,120-280 kg/ha,<0.5 to >0.5 ppm,<4.5 to >4.5 ppm,<0.6 to >0.6 ppm,>0.2 ppm,>10.0 ppm,<0.50%,>6.5-8.5,0-1.68 dS/m,>2.0 ppm,16.3,<369.6 kg/ha,9.18−22.95 kg/ha,102.96−240.24 kg/ha,<0.46 to >0.46 ppm,<3.73 to >3.73 ppm,<0.57 to >0.57 ppm,>0.2 ppm,>8.7 ppm,<0.42%,>6.5−8.5,0−1.78 dS/m,>1.9 ppm
